"No.","Time","Source","Destination","Protocol","Length","Info"
"3050","101.651322","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3540 Ack=2922 Win=258 Len=35 TSval=121606310 TSecr=37"
"3078","102.454943","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3575 Ack=2952 Win=258 Len=35 TSval=121606390 TSecr=37"
"3111","103.620825","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3610 Ack=2982 Win=258 Len=35 TSval=121606507 TSecr=37"
"3142","104.633768","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3645 Ack=3011 Win=258 Len=35 TSval=121606608 TSecr=37"
"3167","105.473423","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3680 Ack=3040 Win=258 Len=35 TSval=121606692 TSecr=37"
"3201","106.632623","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3715 Ack=3069 Win=258 Len=35 TSval=121606808 TSecr=37"
"3233","107.643434","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3750 Ack=3098 Win=258 Len=35 TSval=121606909 TSecr=37"
"3256","108.460249","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3785 Ack=3127 Win=258 Len=35 TSval=121606991 TSecr=37"
"3288","109.647958","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3820 Ack=3156 Win=258 Len=35 TSval=121607109 TSecr=37"
"3320","110.638991","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3855 Ack=3185 Win=257 Len=35 TSval=121607208 TSecr=37"
"3346","111.450348","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3890 Ack=3214 Win=257 Len=35 TSval=121607289 TSecr=37"
"3385","112.627842","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3925 Ack=3243 Win=257 Len=35 TSval=121607407 TSecr=37"
"3413","113.635912","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3960 Ack=3272 Win=257 Len=35 TSval=121607508 TSecr=37"
"3438","114.458585","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3995 Ack=3301 Win=257 Len=35 TSval=121607590 TSecr=37"
"3471","115.638112","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4030 Ack=3330 Win=257 Len=35 TSval=121607708 TSecr=37"
